01.11.2022 | 08:43,Drops Baby Merino Mix,Lieferbar,"€ 3,10",Zusammenstellung100% Merinowolle,Nadelstärke3 mm
01.11.2022 | 08:43,Drops Safran,Lieferbar,"€ 1,23",Zusammenstellung100% Baumwolle,Nadelstärke3 mm
01.11.2022 | 08:43,Stylecraft Special dk,Lieferbar,"€ 2,44",Zusammenstellung100% Acryl,Nadelstärke4 mm
